Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2024-06-16,17:00:00,SALISBURY,Just An Hour,1m2f,8,12.0,15.5,0.17717332
2024-06-16,17:00:00,SALISBURY,Photon,1m2f,9,13.0,17.17,0.06953218
2024-06-16,17:00:00,SALISBURY,On The Cards,1m2f,4,19.0,24.66,0.021770816
2024-06-16,17:00:00,SALISBURY,Pride Of Nepal,1m2f,6,34.0,43.97,0.025789266
2024-06-16,17:30:00,SALISBURY,Taritino,1m4f,1,2.25,2.36,0.10661241
2024-06-16,17:30:00,SALISBURY,Fiddlers Green,1m4f,7,4.2,5.07,0.4325218
2024-06-16,17:30:00,SALISBURY,Fair Dinkum,1m4f,5,8.0,9.26,0.14886002
2024-06-16,17:30:00,SALISBURY,Vin Rouge,1m4f,4,8.5,9.04,0.19779974
2024-06-16,17:30:00,SALISBURY,Rebel Angel,1m4f,3,11.0,11.5,0.19738229
2024-06-16,17:30:00,SALISBURY,Feyha,1m4f,6,19.0,24.69,0.033506937
2024-06-16,17:30:00,SALISBURY,Wilderness,1m4f,2,21.0,24.93,0.11519729
2024-06-11,14:00:00,SALISBURY,Cayman Tai,6f,2,3.5,3.78,0.25585142
2024-06-11,14:00:00,SALISBURY,Sweet Sonata,6f,6,29.0,39.12,0.011845287
2024-06-11,14:00:00,SALISBURY,Linwood,6f,4,41.0,65.0,0.012731492
2024-06-11,14:00:00,SALISBURY,Profit Rockit,6f,9,67.0,92.0,0.0010619037
2024-06-11,14:00:00,SALISBURY,Blewburton,6f,3,4.33,4.9,0.34366077
2024-06-11,14:00:00,SALISBURY,Ashen,6f,11,6.5,7.31,0.5566807
2024-06-11,14:00:00,SALISBURY,Pit Boss,6f,5,9.5,10.75,0.16110756
2024-06-11,14:00:00,SALISBURY,Style King,6f,8,11.0,14.47,0.4982605
2024-06-11,14:00:00,SALISBURY,Ardennes,6f,1,12.0,12.4,0.07892516
2024-06-11,14:00:00,SALISBURY,Pappa Louis,6f,10,17.0,20.15,0.10204466
2024-06-11,14:00:00,SALISBURY,Dullingham,6f,12,19.0,24.18,0.030856226
2024-06-11,14:00:00,SALISBURY,Queen Of Good News,6f,7,23.0,26.31,0.0053298413
2024-06-11,14:32:00,SALISBURY,Stratusnine,6f,2,1.73,1.81,0.9102462
2024-06-11,14:32:00,SALISBURY,Gloryous,6f,11,126.0,220.0,0.0044009234
2024-06-11,14:32:00,SALISBURY,Ballarat Bertie,6f,12,151.0,441.59,0.003636417
2024-06-11,14:32:00,SALISBURY,Glendine,6f,7,251.0,560.0,0.0015858443
2024-06-11,14:32:00,SALISBURY,Arabian Sun,6f,1,4.33,6.05,0.6238215
2024-06-11,14:32:00,SALISBURY,Yala,6f,8,4.5,6.78,0.53580827
2024-06-11,14:32:00,SALISBURY,Cairdeas,6f,3,19.0,29.0,0.07324206
2024-06-11,14:32:00,SALISBURY,Sands Of Marra,6f,4,26.0,41.98,0.056881215
2024-06-11,14:32:00,SALISBURY,KonNichiwa,6f,9,26.0,44.26,0.08391106
2024-06-11,14:32:00,SALISBURY,Canvas,6f,5,41.0,95.0,0.04596596
2024-06-11,14:32:00,SALISBURY,Glitter Code,6f,6,51.0,119.35,0.16224997
2024-06-11,14:32:00,SALISBURY,Limegreentangerine,6f,10,67.0,134.3,0.0063431975
2024-06-11,15:02:00,SALISBURY,Mullins Beach,6f,6,4.0,4.29,0.35989258
2024-06-11,15:02:00,SALISBURY,Revenue,6f,3,4.0,4.45,0.43043098
2024-06-11,15:02:00,SALISBURY,Hot Front,6f,7,7.0,7.63,0.45286506
2024-06-11,15:02:00,SALISBURY,High Violet,6f,2,7.0,7.8,0.13070877
